6,6,DSI_H_OPT3[7:0],,,,,,,,0x14
7,7,DPHYOTP1[7:0] ,,,,,,,,0x00
8,8,DPHYOTP2[7:0] ,,,,,,,,0x00
9,9,DPHYOTP3[7:0] ,,,,,,,,0x00
A,10,DPHYOTP4[7:0] ,,,,,,,,0x00
B,11,DPHYOTP5[7:0] ,,,,,,,,0x00
C,12,DPHYOTP6[7:0] ,,,,,,,,0x00
D,13,DPHYOTP7[7:0] ,,,,,,,,0x00
E,14,DPHYOTP8[7:0] ,,,,,,,,0x00
F,15,DPHYCMD1[7:0] ,,,,,,,,0x44
10,16,DPHYCMD2[7:0] ,,,,,,,,0x25
11,17,DPHYCMD0[7:0] ,,,,,,,,0x00
12,18,DSICMD0[7:0] ,,,,,,,,0x91
13,19,DSICMD1[7:0] ,,,,,,,,0x0A
14,20,DSICMD2[7:0] ,,,,,,,,0x00
15,21,DSICMD3[7:0] ,,,,,,,,0x00
16,22,DSIOTP0[7:0] ,,,,,,,,0x02
17,23,DSIOTP1[7:0] ,,,,,,,,0x4F
18,24,DSI_H_OPT4[7:0],,,,,,,,0xD1
19,25,DSI_Error_en1[7:0],,,,,,,,0x00
1A,26,DSI_Error_en2[7:0],,,,,,,,0x00
1B,27,PERI_On_EN,CM_On_EN,CMD_FIFO_OPT,DSI_2over3_EN,HSCK_CNT_INI[3:0],,,,0x37
BB,SETDSI_SPI,1,0,1,1,1,1,0,0,
1,1,DSI_SPI_MODE[7:0],,,,,,,,0x00
2,2,-,-,-,-,-,-,FORCE_BS[1:0],,0x02
BC,SETVDC,1,0,1,1,1,1,0,0,
1,1,-,NVDDD_SEL[2:0],,,ENDR_VDDD,VDDD_SEL[2:0],,,0x47
BD,SETSTD,1,0,1,1,1,1,0,1,
1,1,-,-,-,-,-,-,-,STD_RD_OPTION,0x00
2,2,R09_01[7:0],,,,,,,,0x00
3,3,R09_02[7:0],,,,,,,,0x00
4,4,R09_03[7:0],,,,,,,,0x00
5,5,R09_04[7:0],,,,,,,,0x00
6,6,R0A[7:0],,,,,,,,0x00
7,7,R0B[7:0],,,,,,,,0x00
8,8,R0C[7:0],,,,,,,,0x00
BE,Logic debug,1,0,1,1,1,1,1,0,
1,1,TEST_OE[7:0],,,,,,,,0x00
2,2,-,-,-,-,-,-,-,PROB[8],N/A
3,3,PROB[7:0] ,,,,,,,,N/A
4,4,M_START_EN[7:0] ,,,,,,,,0x00
BF,SETPCR,1,0,1,1,1,1,1,1,
1,1,PCR[31:24],,,,,,,,0x02
2,2,PCR[23:16],,,,,,,,0x10
3,3,PCR[15:8],,,,,,,,0x02
4,4,PCR[7:0],,,,,,,,0x80
5,5,CCR[7:0],,,,,,,,0x07
C0,SETSCR,1,1,0,0,0,0,0,0,
1,1,N_POPON[7:0],,,,,,,,0x73
2,2,N_NOPON[7:0],,,,,,,,0x73
3,3,I_POPON[7:0],,,,,,,,0x50
4,4,I_NOPON[7:0],,,,,,,,0x50
5,5,SCR[31:24],,,,,,,,0xC0
6,6,SCR[23:16],,,,,,,,0x00
7,7,SCR[15:8],,,,,,,,0x08
8,8,SCR[7:0],,,,,,,,0x70
9,9,GENON[7:0],,,,,,,,0x00
C1,SETPOWER ,1,1,0,0,0,0,1,0,
1,1,VBTHS[3:0],,,,VBTLS[3:0],,,,0x53
2,2,FBOFF_VGH,FBOFF_VGL,-,-,-,-,-,-,0xC0
3,3,-,-,VRP[5:0],,,,,,0x16
4,4,-,-,VRN[5:0],,,,,,0x16
5,5,VSPS[3:0],,,,VSNS[3:0],,,,0x77
6,6,VGL_DET_EN,VGH_DET_EN,VGL_TURBO,VGH_TURBO,-,APS[2:0],,,0xD1
7,7,VGH1_L_DIV[3:0],,,,VGL1_L_DIV[3:0],,,,0xCC
8,8,VGH1_R_DIV[3:0],,,,VGL1_R_DIV[3:0],,,,0xDD
9,9,VGH2_L_DIV[3:0],,,,VGL2_L_DIV[3:0],,,,0x67
A,10,VGH2_R_DIV[3:0],,,,VGL2_R_DIV[3:0],,,,0x77
B,11,VGH3_L_DIV[3:0],,,,VGL3_L_DIV[3:0],,,,0x33
C,12,VGH3_R_DIV[3:0],,,,VGL3_R_DIV[3:0],,,,0x33
D,13,VGH4_L_DIV[3:0],,,,VGL4_L_DIV[3:0],,,,0x11
E,14,VGH4_R_DIV[3:0],,,,VGL4_R_DIV[3:0],,,,0x11
F,15,VGH5_L_DIV[3:0],,,,VGL5_L_DIV[3:0],,,,0x00
10,16,VGH5_R_DIV[3:0],,,,VGL5_R_DIV[3:0],,,,0x00
C2,Analog debug ,1,1,0,0,0,0,1,0,
1,1,IO_DL[7:0],,,,,,,,0x00
2,2,VTESTSEL[4:0] ,,,,,-,VTESTOE[1:0],,0xX0
C3,SETID,1,1,0,0,0,0,1,1,
1,1,ID1[7:0],,,,,,,,0x38
2,2,ID2[7:0],,,,,,,,0x21
3,3,ID3[7:0],,,,,,,,0x1F
4,4,-,-,-,-,-,ID_TIMES[2:0],,,0x00
C4,SETDDB,1,1,0,0,0,1,0,0,
1,1,DDB1[7:0],,,,,,,,by OTP
2,2,DDB2[7:0],,,,,,,,by OTP
3,3,DDB3[7:0],,,,,,,,by OTP
4,4,DDB4[7:0],,,,,,,,by OTP
C5,SETROM,1,1,0,0,0,1,0,1,
1,1,-,-,-,ROM_TEST_ADDR[12:8],ROM_TEST_ADDR[11:8](4'b0),,,,N/A
2,2,ROM_TEST_ADDR[7:0],,,,,,,,N/A
#NAME?,3,-,-,-,-,-,ROM_TEST,ROM_TEST_CSB,ROM_TEST_OEB,0x03
C6,SETECO,1,1,0,0,0,1,1,0,
1,1,ECO0[7:0],,,,,,,,0x00
